id;code_etablissement;bic
1;10008;CEQFFR21XXX
2;10011;PSSTFRPPCNE
3;10038;FIIDFR21
4;10050;SORFRER1XXX
5;10057;CMCIFRP1SBC
6;10071;TRPUFRP1XXX
7;10088;SPPCFRP1XXX
8;10096;CMCIFRP1LYB
9;10107;BREDFRPPXXX
10;10108;BYLAFRPPXXX
11;10128;BCITFRPPXXX
12;10140;CCMRFR21XXX
13;10160;CMMDMCM1XXX
14;10178;CCBPFRPPCHX
15;10188;BCHAFR21
16;10206;AGRIFRPP802
17;10207;CCBPFRPPMTG
18;10218;RABOFRPPXXX
19;10228;LAYDFR2W
20;10268;COURFR2T
21;10273;OCFIFRP1XXX
22;10278;CMCIFR2ACEE
23;10323;MLIBFRP1XXX
24;10343;SBILFRP1XXX
25;10423;RBOSFRP1XXX
26;10468;RALPFR2G
27;10548;BSAVFR2CXXX
28;10550;DAFRFR21XXX
29;10558;TARNFR2L
30;10638;CCBPFRPP555
31;10673;GIFSFRP1XXX
32;10773;FMTSFRPPXXX
33;10800;LOAAFR21XXX
34;10807;CCBPFRPPDJN
35;10820;FRUCFRP1XXX
36;10890;FACIFRPP
37;10900;DIFFFRP1XXX
38;10907;CCBPFRPPBDX
39;10918;CHDUFRPP
40;10920;SODLFR21XXX
41;10930;FRGNFR21XXX
42;10968;AIGAFRPPXXX
43;11006;AGRIFRPP810
44;11018;BSILMCMCXXX
45;11078;BIIOFR21XXX
46;11128;NALEFRP1
47;11138;NFACFR21XXX
48;11140;SSEEFR21XXX
49;11188;RCINFRPPXXX
50;11190;CGLLFRP1XXX
51;11206;AGRIFRPP812
52;11210;RGFIFRPPXXX
53;11228;CMCIFRP1DYD
54;11230;CONOFRP1XXX
55;11238;SWILFRP1XXX
56;11248;INLFFRP1XXX
57;11298;SIFSFRP1XXX
58;11306;AGRIFRPP813
59;11307;CCBPFRPPCAS
60;11315;CEPAFRPP131
61;11343;CSEEFRP1XXX
62;11353;PLNTFR21XXX
63;11378;BPNPFRP1XXX
64;11380;CRRHFRP1XXX
65;11408;WAFTWF21XXX
66;11425;CEPAFRPP142
67;11438;HRFRFRP1XXX
68;11449;BDEIFRPP
69;11453;SITRFRP1XXX
70;11468;PAIMFRP1XXX
71;11470;COCNFRP1XXX
